cell_id,cell_type,batch,split
human1_lib2.final_cell_0380,macrophage,inDrop1,test
3rd-C51_S87,activated_stellate,fluidigmc1,train
human3_lib3.final_cell_0764,alpha,inDrop3,train
human4_lib3.final_cell_0378,gamma,inDrop4,train
9th-C1_S3,beta,fluidigmc1,test
HP1506401_D15,ductal,smartseq2,test
human1_lib2.final_cell_0321,ductal,inDrop1,train
D17TGFB_76,acinar,celseq,train
D31-4_70,acinar,celseq2,train
D28-8_2,alpha,celseq2,train
Sample_77,beta,smarter,validation
Sample_677,beta,smarter,test
human3_lib4.final_cell_0181,ductal,inDrop3,test
human1_lib2.final_cell_0085,beta,inDrop1,train
human2_lib3.final_cell_0296,alpha,inDrop2,train
human3_lib4.final_cell_0508,beta,inDrop3,validation
human1_lib1.final_cell_0196,beta,inDrop1,train
human3_lib1.final_cell_0285,alpha,inDrop3,test
HP1506401_J11,acinar,smartseq2,train
human2_lib2.final_cell_0233,ductal,inDrop2,train
D30-8_71,alpha,celseq2,train
D2ex_43,beta,celseq,validation
human4_lib3.final_cell_0143,beta,inDrop4,train
human1_lib3.final_cell_0070,acinar,inDrop1,train
HP1502401_F20,alpha,smartseq2,train
D31-5_9,beta,celseq2,test
D30-7_84,schwann,celseq2,validation
human3_lib2.final_cell_0570,ductal,inDrop3,train
D29-6_1,alpha,celseq2,validation
human4_lib3.final_cell_0056,delta,inDrop4,test
Sample_1430,alpha,smarter,train
HP1526901T2D_J4,alpha,smartseq2,validation
human4_lib3.final_cell_0254,ductal,inDrop4,train
10th_C85_S86,beta,fluidigmc1,train
human3_lib1.final_cell_0293,alpha,inDrop3,train
Sample_1092,alpha,smarter,train
human1_lib3.final_cell_0167,beta,inDrop1,test
human2_lib2.final_cell_0512,alpha,inDrop2,train
human3_lib3.final_cell_0082,acinar,inDrop3,train
human4_lib3.final_cell_0674,beta,inDrop4,train
human3_lib1.final_cell_0270,acinar,inDrop3,train
HP1525301T2D_C23,acinar,smartseq2,test
human3_lib4.final_cell_0149,acinar,inDrop3,train
human2_lib2.final_cell_0479,alpha,inDrop2,test
human2_lib1.final_cell_0114,alpha,inDrop2,train
human1_lib2.final_cell_0102,delta,inDrop1,train
Sample_10,beta,smarter,train
D3ex_71,acinar,celseq,train
HP1502401_G24,beta,smartseq2,train
D17All1_10,alpha,celseq,train
human3_lib4.final_cell_0160,alpha,inDrop3,train
human3_lib4.final_cell_0306,beta,inDrop3,train
HP1504101T2D_M6,alpha,smartseq2,train
human1_lib3.final_cell_0379,ductal,inDrop1,train
human3_lib1.final_cell_0629,alpha,inDrop3,train
2nd-C58_S22,alpha,fluidigmc1,test
HP1525301T2D_C10,alpha,smartseq2,train
human1_lib2.final_cell_0038,alpha,inDrop1,validation
human3_lib4.final_cell_0427,beta,inDrop3,train
human3_lib4.final_cell_0823,beta,inDrop3,train
Sample_1274,alpha,smarter,train
HP1506401_C5,alpha,smartseq2,test
human4_lib1.final_cell_0473,alpha,inDrop4,train
human2_lib1.final_cell_0121,ductal,inDrop2,train
human2_lib3.final_cell_0449,alpha,inDrop2,test
HP1525301T2D_K5,acinar,smartseq2,train
D172444_4,alpha,celseq,train
D71_10,acinar,celseq,train
D30-5_91,delta,celseq2,train
human3_lib2.final_cell_0417,ductal,inDrop3,train
Sample_1032,alpha,smarter,train
human1_lib2.final_cell_0585,beta,inDrop1,train
Sample_1193,alpha,smarter,train
D3en4_9,acinar,celseq,train
Sample_561,alpha,smarter,train
HP1509101_J24,alpha,smartseq2,train
human3_lib4.final_cell_0446,alpha,inDrop3,validation
human3_lib2.final_cell_0240,alpha,inDrop3,validation
Sample_50,beta,smarter,train
human3_lib3.final_cell_0783,alpha,inDrop3,train
human2_lib1.final_cell_0240,alpha,inDrop2,validation
human1_lib2.final_cell_0049,alpha,inDrop1,train
human3_lib4.final_cell_0757,ductal,inDrop3,test
human2_lib1.final_cell_0227,beta,inDrop2,train
human1_lib2.final_cell_0613,alpha,inDrop1,train
human4_lib1.final_cell_0258,alpha,inDrop4,train
human2_lib1.final_cell_0058,beta,inDrop2,train
human3_lib1.final_cell_0876,alpha,inDrop3,train
HP1502401_E21,alpha,smartseq2,train
human3_lib3.final_cell_0131,beta,inDrop3,train
human3_lib4.final_cell_0243,beta,inDrop3,train
human2_lib1.final_cell_0032,ductal,inDrop2,validation
human3_lib3.final_cell_0898,endothelial,inDrop3,validation
human1_lib3.final_cell_0530,mast,inDrop1,train
human3_lib1.final_cell_0099,beta,inDrop3,validation
D17All1_23,beta,celseq,train
HP1506401_L4,ductal,smartseq2,test
HP1509101_H21,alpha,smartseq2,train
Sample_470,alpha,smarter,train
human1_lib3.final_cell_0180,alpha,inDrop1,train
human3_lib1.final_cell_0241,beta,inDrop3,train
human1_lib3.final_cell_0241,ductal,inDrop1,validation
human2_lib1.final_cell_0286,alpha,inDrop2,train
human3_lib2.final_cell_0400,alpha,inDrop3,train
D72_2,alpha,celseq,train
human4_lib1.final_cell_0425,endothelial,inDrop4,train
human4_lib1.final_cell_0028,delta,inDrop4,train
HP1526901T2D_O8,beta,smartseq2,validation
human3_lib1.final_cell_0867,beta,inDrop3,train
human1_lib1.final_cell_0055,beta,inDrop1,test
D29-5_79,gamma,celseq2,train
Sample_453,alpha,smarter,test
human3_lib4.final_cell_0130,delta,inDrop3,train
HP1509101_P9,ductal,smartseq2,train
human1_lib2.final_cell_0113,beta,inDrop1,validation
HP1502401_H4,alpha,smartseq2,validation
D1713_83,ductal,celseq,train
human3_lib4.final_cell_0488,alpha,inDrop3,train
Sample_297,alpha,smarter,train
human2_lib3.final_cell_0032,alpha,inDrop2,train
human2_lib1.final_cell_0124,beta,inDrop2,train
D31-5_13,ductal,celseq2,train
human1_lib3.final_cell_0654,beta,inDrop1,train
human1_lib2.final_cell_0583,gamma,inDrop1,train
human1_lib2.final_cell_0584,endothelial,inDrop1,train
Sample_673,beta,smarter,train
human2_lib2.final_cell_0430,macrophage,inDrop2,train
human4_lib3.final_cell_0689,alpha,inDrop4,test
D28-2_90,alpha,celseq2,test
HP1504101T2D_G23,alpha,smartseq2,train
human1_lib1.final_cell_0228,beta,inDrop1,train
human3_lib4.final_cell_0726,endothelial,inDrop3,train
D3en2_23,acinar,celseq,train
Sample_1432,alpha,smarter,validation
Sample_398,alpha,smarter,train
human1_lib2.final_cell_0004,acinar,inDrop1,train
HP1506401_O21,acinar,smartseq2,validation
human4_lib3.final_cell_0472,beta,inDrop4,validation
HP1508501T2D_N23,ductal,smartseq2,test
human3_lib1.final_cell_0802,quiescent_stellate,inDrop3,train
Sample_796,beta,smarter,train
human2_lib3.final_cell_0398,alpha,inDrop2,train
HP1502401_K10,acinar,smartseq2,test
Sample_653,beta,smarter,train
human3_lib2.final_cell_0452,alpha,inDrop3,train
D30-5_36,acinar,celseq2,train
human3_lib2.final_cell_0496,alpha,inDrop3,validation
human3_lib3.final_cell_0485,alpha,inDrop3,validation
human3_lib3.final_cell_0204,acinar,inDrop3,test
human3_lib4.final_cell_0420,beta,inDrop3,train
D30-5_8,alpha,celseq2,train
human2_lib1.final_cell_0129,ductal,inDrop2,test
6th-C19_S35,beta,fluidigmc1,test
Sample_1172,alpha,smarter,train
HP1525301T2D_E7,alpha,smartseq2,train
human2_lib1.final_cell_0495,activated_stellate,inDrop2,train
human3_lib3.final_cell_0582,alpha,inDrop3,train
human2_lib3.final_cell_0276,alpha,inDrop2,train
human4_lib3.final_cell_0615,alpha,inDrop4,train
HP1506401_B14,acinar,smartseq2,train
D28-8_77,acinar,celseq2,train
HP1506401_P11,ductal,smartseq2,train
human2_lib2.final_cell_0085,activated_stellate,inDrop2,train
Sample_20,beta,smarter,train
HP1508501T2D_G6,alpha,smartseq2,train
HP1507101_P20,endothelial,smartseq2,train
HP1507101_J18,alpha,smartseq2,test
human2_lib3.final_cell_0388,ductal,inDrop2,train
human4_lib3.final_cell_0039,delta,inDrop4,validation
human3_lib4.final_cell_0720,alpha,inDrop3,train
human1_lib2.final_cell_0404,acinar,inDrop1,train
D1713_1,ductal,celseq,train
human3_lib1.final_cell_0699,alpha,inDrop3,train
human4_lib3.final_cell_0601,beta,inDrop4,train
human3_lib1.final_cell_0100,beta,inDrop3,train
9th-C22_S41,schwann,fluidigmc1,train
13th_C15_S134,beta,fluidigmc1,test
human1_lib1.final_cell_0470,beta,inDrop1,validation
human4_lib3.final_cell_0241,ductal,inDrop4,train
human3_lib4.final_cell_0771,alpha,inDrop3,train
human4_lib1.final_cell_0593,alpha,inDrop4,train
human3_lib3.final_cell_0705,ductal,inDrop3,train
D31-1_50,ductal,celseq2,train
human3_lib2.final_cell_0109,acinar,inDrop3,test
HP1509101_P23,activated_stellate,smartseq2,test
HP1502401_G5,beta,smartseq2,train
human3_lib1.final_cell_0418,alpha,inDrop3,train
D29-6_40,alpha,celseq2,train
D31-2_94,ductal,celseq2,train
Sample_1436,alpha,smarter,train
12th-C26_S192,beta,fluidigmc1,test
human1_lib1.final_cell_0419,endothelial,inDrop1,train
D31-2_22,alpha,celseq2,validation
D30-4_19,alpha,celseq2,train
human2_lib2.final_cell_0131,beta,inDrop2,train
Sample_630,gamma,smarter,train
human1_lib3.final_cell_0414,ductal,inDrop1,train
Sample_907,beta,smarter,train
human1_lib2.final_cell_0386,alpha,inDrop1,train
Sample_1485,alpha,smarter,train
2nd-C11_S20,alpha,fluidigmc1,train
human4_lib1.final_cell_0015,delta,inDrop4,train
human1_lib2.final_cell_0614,beta,inDrop1,train
human4_lib3.final_cell_0067,beta,inDrop4,train
human3_lib1.final_cell_0397,activated_stellate,inDrop3,train
human1_lib1.final_cell_0110,delta,inDrop1,test
HP1526901T2D_G23,delta,smartseq2,train
human3_lib2.final_cell_0203,beta,inDrop3,train
Sample_928,beta,smarter,validation
HP1509101_N5,alpha,smartseq2,train
human2_lib1.final_cell_0009,activated_stellate,inDrop2,test
D10631_95,acinar,celseq,train
human3_lib2.final_cell_0045,acinar,inDrop3,train
HP1526901T2D_G11,macrophage,smartseq2,test
HP1508501T2D_N11,alpha,smartseq2,train
human3_lib3.final_cell_0906,beta,inDrop3,train
Sample_75,beta,smarter,test
human3_lib3.final_cell_0365,alpha,inDrop3,train
human2_lib2.final_cell_0057,beta,inDrop2,train
human4_lib3.final_cell_0058,delta,inDrop4,test
D74_3,beta,celseq,train
human3_lib3.final_cell_0459,ductal,inDrop3,train
human1_lib1.final_cell_0106,beta,inDrop1,train
D3en2_31,acinar,celseq,train
human1_lib2.final_cell_0324,activated_stellate,inDrop1,train
human2_lib3.final_cell_0359,alpha,inDrop2,train
human3_lib2.final_cell_0584,alpha,inDrop3,train
D30-4_76,beta,celseq2,train
HP1502401_B5,alpha,smartseq2,test
human1_lib3.final_cell_0677,alpha,inDrop1,validation
human1_lib2.final_cell_0562,quiescent_stellate,inDrop1,train
human1_lib2.final_cell_0185,beta,inDrop1,validation
HP1526901T2D_L17,alpha,smartseq2,train
human1_lib3.final_cell_0666,beta,inDrop1,train
human3_lib1.final_cell_0759,alpha,inDrop3,test
D31-5_22,beta,celseq2,train
Sample_59,beta,smarter,train
human4_lib1.final_cell_0464,gamma,inDrop4,train
human4_lib1.final_cell_0521,beta,inDrop4,train
HP1525301T2D_D1,ductal,smartseq2,train
5th-C49_S89,beta,fluidigmc1,train
Sample_476,alpha,smarter,train
human3_lib2.final_cell_0692,alpha,inDrop3,train
HP1506401_P23,acinar,smartseq2,test
human3_lib2.final_cell_0271,activated_stellate,inDrop3,train
human1_lib1.final_cell_0465,beta,inDrop1,train
human1_lib3.final_cell_0204,quiescent_stellate,inDrop1,validation
D172444_92,alpha,celseq,validation
HP1504901_D13,acinar,smartseq2,train
human3_lib3.final_cell_0572,delta,inDrop3,test
D31-7_14,alpha,celseq2,train
HP1525301T2D_D9,alpha,smartseq2,train
HP1525301T2D_K22,alpha,smartseq2,train
human4_lib1.final_cell_0255,alpha,inDrop4,train
human3_lib3.final_cell_0881,delta,inDrop3,test
human3_lib3.final_cell_0409,ductal,inDrop3,train
7th-C50_S5,beta,fluidigmc1,train
D31-1_5,acinar,celseq2,train
human3_lib2.final_cell_0192,beta,inDrop3,train
human2_lib3.final_cell_0256,beta,inDrop2,train
D28-1_15,alpha,celseq2,train
HP1507101_J15,ductal,smartseq2,test
human3_lib2.final_cell_0251,alpha,inDrop3,train
human1_lib2.final_cell_0227,beta,inDrop1,test
5th-C73_S111,acinar,fluidigmc1,train
human3_lib3.final_cell_0794,beta,inDrop3,train
human1_lib3.final_cell_0701,beta,inDrop1,test
HP1506401_M1,acinar,smartseq2,validation
human2_lib3.final_cell_0485,alpha,inDrop2,train
D31-4_64,beta,celseq2,test
HP1526901T2D_F24,ductal,smartseq2,train
human2_lib2.final_cell_0050,ductal,inDrop2,train
D30-3_58,beta,celseq2,train
HP1507101_K17,alpha,smartseq2,train
human1_lib1.final_cell_0241,beta,inDrop1,train
human3_lib1.final_cell_0148,alpha,inDrop3,train
HP1502401_M12,beta,smartseq2,validation
D31-4_42,alpha,celseq2,validation
human4_lib3.final_cell_0652,alpha,inDrop4,train
D3en2_62,ductal,celseq,train
human4_lib1.final_cell_0062,ductal,inDrop4,train
HP1502401_B23,beta,smartseq2,train
human1_lib3.final_cell_0404,beta,inDrop1,train
D30-4_59,delta,celseq2,train
human3_lib3.final_cell_0267,ductal,inDrop3,train
human2_lib1.final_cell_0139,beta,inDrop2,train
D31-6_18,alpha,celseq2,train
human2_lib2.final_cell_0384,ductal,inDrop2,test
D31-4_39,beta,celseq2,test
human3_lib2.final_cell_0196,beta,inDrop3,train
human2_lib2.final_cell_0063,alpha,inDrop2,test
human3_lib4.final_cell_0561,acinar,inDrop3,validation
human1_lib2.final_cell_0534,beta,inDrop1,train
human1_lib1.final_cell_0068,beta,inDrop1,train
Sample_246,alpha,smarter,train
human3_lib4.final_cell_0672,beta,inDrop3,train
D31-8_38,alpha,celseq2,train
Sample_1162,alpha,smarter,validation
human3_lib1.final_cell_0328,alpha,inDrop3,train
HP1504901_D12,alpha,smartseq2,test
HP1506401_L18,acinar,smartseq2,train
human2_lib3.final_cell_0172,delta,inDrop2,train
human2_lib3.final_cell_0030,ductal,inDrop2,test
HP1525301T2D_P14,ductal,smartseq2,test
Sample_982,alpha,smarter,train
Sample_631,gamma,smarter,train
HP1509101_O14,ductal,smartseq2,test
D31-6_21,acinar,celseq2,train
human4_lib1.final_cell_0584,ductal,inDrop4,train
human4_lib3.final_cell_0527,alpha,inDrop4,validation
10th_C7_S60,ductal,fluidigmc1,test
Sample_858,beta,smarter,validation
13th_C94_S219,beta,fluidigmc1,train
human1_lib2.final_cell_0574,ductal,inDrop1,train
human4_lib3.final_cell_0249,beta,inDrop4,train
human3_lib4.final_cell_0841,beta,inDrop3,train
human3_lib3.final_cell_0604,beta,inDrop3,train
D31-4_91,acinar,celseq2,validation
Sample_546,alpha,smarter,train
human2_lib1.final_cell_0023,alpha,inDrop2,validation
human3_lib4.final_cell_0233,acinar,inDrop3,train
D29-3_69,delta,celseq2,train
D31-5_53,alpha,celseq2,train
D30-3_15,gamma,celseq2,train
Sample_223,alpha,smarter,train
human3_lib2.final_cell_0031,acinar,inDrop3,validation
human3_lib1.final_cell_0164,beta,inDrop3,validation
human3_lib1.final_cell_0726,alpha,inDrop3,train
human2_lib2.final_cell_0486,alpha,inDrop2,train
1st-C39_S23,beta,fluidigmc1,train
D28-2_85,alpha,celseq2,train
human3_lib1.final_cell_0339,delta,inDrop3,train
human2_lib3.final_cell_0562,macrophage,inDrop2,validation
human3_lib3.final_cell_0081,acinar,inDrop3,validation
human1_lib3.final_cell_0051,beta,inDrop1,train
human3_lib3.final_cell_0558,ductal,inDrop3,validation
human3_lib3.final_cell_0892,beta,inDrop3,train
human3_lib1.final_cell_0683,acinar,inDrop3,validation
D1713_81,ductal,celseq,train
human3_lib3.final_cell_0048,acinar,inDrop3,train
D17TGFB_51,acinar,celseq,train
D172444_56,alpha,celseq,test
D31-5_90,alpha,celseq2,train
human3_lib1.final_cell_0646,ductal,inDrop3,train
13th_C4_S191,alpha,fluidigmc1,train
HP1504901_A22,quiescent_stellate,smartseq2,train
human2_lib2.final_cell_0321,beta,inDrop2,train
human2_lib1.final_cell_0098,ductal,inDrop2,train
human4_lib3.final_cell_0588,alpha,inDrop4,validation
human2_lib3.final_cell_0432,gamma,inDrop2,validation
human1_lib2.final_cell_0544,schwann,inDrop1,train
human2_lib2.final_cell_0244,alpha,inDrop2,train
Sample_610,delta,smarter,train
10th_C33_S64,beta,fluidigmc1,test
human3_lib4.final_cell_0877,beta,inDrop3,train
human1_lib3.final_cell_0282,delta,inDrop1,train
HP1507101_P10,alpha,smartseq2,train
human3_lib1.final_cell_0455,alpha,inDrop3,train
D29-1_18,alpha,celseq2,train
D29-3_24,beta,celseq2,train
human3_lib3.final_cell_0393,acinar,inDrop3,train
10th_C5_S95,alpha,fluidigmc1,train
D29-7_77,gamma,celseq2,test
human2_lib2.final_cell_0489,alpha,inDrop2,test
D101_10,alpha,celseq,train
human1_lib1.final_cell_0001,acinar,inDrop1,train
HP1506401_F13,alpha,smartseq2,train
HP1525301T2D_I11,macrophage,smartseq2,train
human4_lib1.final_cell_0534,ductal,inDrop4,test
D73_76,beta,celseq,train
human3_lib1.final_cell_0713,beta,inDrop3,test
human2_lib1.final_cell_0271,alpha,inDrop2,validation
human3_lib2.final_cell_0308,beta,inDrop3,train
D172444_23,gamma,celseq,train
D29-6_88,gamma,celseq2,train
D29-3_74,alpha,celseq2,train
human2_lib2.final_cell_0183,gamma,inDrop2,train
Sample_215,alpha,smarter,train
HP1504901_M24,alpha,smartseq2,test
human2_lib3.final_cell_0232,alpha,inDrop2,train
human3_lib1.final_cell_0344,beta,inDrop3,train
human2_lib1.final_cell_0545,gamma,inDrop2,test
D29-6_11,gamma,celseq2,validation
human3_lib1.final_cell_0335,alpha,inDrop3,train
HP1525301T2D_L4,ductal,smartseq2,train
HP1526901T2D_N1,beta,smartseq2,validation
Sample_1053,alpha,smarter,train
Sample_1429,alpha,smarter,test
D28-8_50,macrophage,celseq2,train
D17All2_65,beta,celseq,train
human2_lib1.final_cell_0373,ductal,inDrop2,train
human2_lib3.final_cell_0010,delta,inDrop2,train
human3_lib1.final_cell_0348,beta,inDrop3,train
D29-2_79,beta,celseq2,train
human2_lib3.final_cell_0213,alpha,inDrop2,train
HP1508501T2D_H17,ductal,smartseq2,train
D28-5_3,acinar,celseq2,train
D29-8_64,alpha,celseq2,validation
HP1508501T2D_J23,acinar,smartseq2,train
5th-C87_S119,alpha,fluidigmc1,train
human1_lib2.final_cell_0039,beta,inDrop1,train
D30-3_19,alpha,celseq2,train
human3_lib1.final_cell_0077,acinar,inDrop3,train
human2_lib3.final_cell_0200,beta,inDrop2,test
human2_lib2.final_cell_0446,alpha,inDrop2,test
8th-C38_S147,beta,fluidigmc1,train
HP1526901T2D_D7,acinar,smartseq2,train
D30-4_83,beta,celseq2,validation
human3_lib2.final_cell_0470,alpha,inDrop3,train
Sample_1590,gamma,smarter,train
human1_lib2.final_cell_0193,beta,inDrop1,train
HP1507101_N22,alpha,smartseq2,test
human3_lib4.final_cell_0868,alpha,inDrop3,train
D29-5_19,alpha,celseq2,train
11th-C12_S47,alpha,fluidigmc1,train
HP1508501T2D_H5,activated_stellate,smartseq2,train
HP1502401_F15,gamma,smartseq2,train
12th-C4_S154,beta,fluidigmc1,train
human2_lib2.final_cell_0508,beta,inDrop2,test
human2_lib1.final_cell_0302,alpha,inDrop2,train
HP1509101_L16,ductal,smartseq2,train
HP1502401_J12,beta,smartseq2,train
human3_lib4.final_cell_0225,beta,inDrop3,train
D31-5_64,ductal,celseq2,train
human3_lib1.final_cell_0492,beta,inDrop3,train
HP1525301T2D_L15,alpha,smartseq2,train
human1_lib3.final_cell_0458,beta,inDrop1,train
D31-5_46,delta,celseq2,train
HP1504901_K1,alpha,smartseq2,test
Sample_639,gamma,smarter,train
human3_lib2.final_cell_0691,beta,inDrop3,train
HP1526901T2D_F8,ductal,smartseq2,train
human3_lib2.final_cell_0540,activated_stellate,inDrop3,test
D30-5_46,ductal,celseq2,train
D29-3_60,alpha,celseq2,train
D30-7_88,macrophage,celseq2,train
human3_lib3.final_cell_0122,acinar,inDrop3,validation
HP1504101T2D_N2,alpha,smartseq2,train
Sample_581,alpha,smarter,train
human3_lib1.final_cell_0184,alpha,inDrop3,train
human1_lib3.final_cell_0049,alpha,inDrop1,train
D30-1_53,beta,celseq2,train
human3_lib4.final_cell_0510,alpha,inDrop3,train
human4_lib3.final_cell_0393,gamma,inDrop4,train
Sample_48,beta,smarter,train
human4_lib3.final_cell_0157,beta,inDrop4,train
human3_lib1.final_cell_0083,alpha,inDrop3,train
human4_lib3.final_cell_0289,ductal,inDrop4,validation
human1_lib3.final_cell_0322,beta,inDrop1,validation
D29-6_21,alpha,celseq2,train
HP1508501T2D_F2,alpha,smartseq2,train
human2_lib3.final_cell_0026,delta,inDrop2,validation
human3_lib2.final_cell_0383,ductal,inDrop3,train
human3_lib3.final_cell_0779,alpha,inDrop3,train
HP1508501T2D_D11,alpha,smartseq2,train
HP1504101T2D_D8,beta,smartseq2,test
D3en4_4,ductal,celseq,train
human2_lib3.final_cell_0230,quiescent_stellate,inDrop2,train
12th-C7_S196,beta,fluidigmc1,validation
HP1525301T2D_M16,alpha,smartseq2,validation
human2_lib2.final_cell_0010,delta,inDrop2,validation
human2_lib2.final_cell_0106,gamma,inDrop2,train
D28-2_49,acinar,celseq2,train
HP1504101T2D_K24,alpha,smartseq2,train
human4_lib1.final_cell_0236,beta,inDrop4,train
Sample_1207,alpha,smarter,train
human3_lib2.final_cell_0089,beta,inDrop3,train
HP1506401_D8,ductal,smartseq2,train
human4_lib3.final_cell_0215,macrophage,inDrop4,train
human3_lib2.final_cell_0048,acinar,inDrop3,train
human1_lib2.final_cell_0089,beta,inDrop1,validation
HP1508501T2D_I12,ductal,smartseq2,validation
human3_lib1.final_cell_0487,alpha,inDrop3,train
HP1508501T2D_K23,ductal,smartseq2,train
D30-1_20,beta,celseq2,train
human3_lib2.final_cell_0119,acinar,inDrop3,test
12th-C42_S159,beta,fluidigmc1,train
human3_lib3.final_cell_0810,delta,inDrop3,train
Sample_337,alpha,smarter,train
human2_lib1.final_cell_0046,alpha,inDrop2,validation
HP1509101_P14,endothelial,smartseq2,train
human3_lib3.final_cell_0435,beta,inDrop3,train
HP1526901T2D_B11,alpha,smartseq2,train
D28-4_63,acinar,celseq2,train
human1_lib2.final_cell_0071,beta,inDrop1,test
human3_lib4.final_cell_0735,beta,inDrop3,test
HP1526901T2D_D18,alpha,smartseq2,train
4th-C3_S1,schwann,fluidigmc1,test
human3_lib1.final_cell_0315,alpha,inDrop3,validation
D29-1_21,beta,celseq2,train
Sample_102,beta,smarter,train
HP1526901T2D_A15,gamma,smartseq2,train
human1_lib1.final_cell_0169,beta,inDrop1,train
human1_lib1.final_cell_0164,beta,inDrop1,test
Sample_733,beta,smarter,train
human3_lib2.final_cell_0053,acinar,inDrop3,train
HP1508501T2D_K7,ductal,smartseq2,train
Sample_227,alpha,smarter,train
Sample_534,alpha,smarter,train
human2_lib2.final_cell_0013,beta,inDrop2,train
HP1504901_N24,delta,smartseq2,train
human2_lib2.final_cell_0198,beta,inDrop2,train
human1_lib3.final_cell_0144,beta,inDrop1,train
D31-2_86,acinar,celseq2,train
human3_lib3.final_cell_0197,beta,inDrop3,train
HP1525301T2D_C17,ductal,smartseq2,train
8th-C92_S157,gamma,fluidigmc1,train
human3_lib4.final_cell_0660,alpha,inDrop3,train
D31-7_87,beta,celseq2,train
human1_lib3.final_cell_0717,beta,inDrop1,train
4th-C36_S69,alpha,fluidigmc1,test
human1_lib3.final_cell_0403,alpha,inDrop1,train
12th-C12_S139,beta,fluidigmc1,train
HP1506401_D24,acinar,smartseq2,train
D31-5_59,alpha,celseq2,train
Sample_1407,alpha,smarter,train
human1_lib1.final_cell_0084,acinar,inDrop1,train
human3_lib1.final_cell_0456,gamma,inDrop3,train
HP1526901T2D_B7,delta,smartseq2,train
human4_lib1.final_cell_0468,ductal,inDrop4,train
HP1507101_E14,beta,smartseq2,train
human3_lib3.final_cell_0252,ductal,inDrop3,train
human4_lib1.final_cell_0014,ductal,inDrop4,train
human4_lib3.final_cell_0648,alpha,inDrop4,validation
human3_lib2.final_cell_0652,acinar,inDrop3,train
HP1502401_E22,beta,smartseq2,test
Sample_1098,alpha,smarter,train
human3_lib2.final_cell_0803,endothelial,inDrop3,train
human1_lib1.final_cell_0065,ductal,inDrop1,train
HP1502401_I2,ductal,smartseq2,train
human3_lib3.final_cell_0404,alpha,inDrop3,train
human1_lib1.final_cell_0258,beta,inDrop1,train
D28-7_16,alpha,celseq2,train
human3_lib1.final_cell_0388,alpha,inDrop3,validation
D31-2_71,beta,celseq2,train
Sample_616,gamma,smarter,train
9th-C5_S8,mast,fluidigmc1,test
human4_lib3.final_cell_0103,beta,inDrop4,train
human3_lib2.final_cell_0169,beta,inDrop3,validation
human3_lib1.final_cell_0366,alpha,inDrop3,train
HP1507101_O8,beta,smartseq2,train
D31-6_57,macrophage,celseq2,train
HP1526901T2D_P12,alpha,smartseq2,train
Sample_725,beta,smarter,train
human2_lib2.final_cell_0039,alpha,inDrop2,train
Sample_98,beta,smarter,test
human1_lib3.final_cell_0381,alpha,inDrop1,train
HP1508501T2D_J1,alpha,smartseq2,train
human2_lib2.final_cell_0460,alpha,inDrop2,test
HP1502401_E6,alpha,smartseq2,train
human2_lib1.final_cell_0345,alpha,inDrop2,train
human3_lib3.final_cell_0708,alpha,inDrop3,validation
HP1506401_N11,beta,smartseq2,train
